Hostname,Customer,Application,Eth0,Eth1,Env,Release,VIP,CPU,Mem,PDC,DAR 
csu320.cs.kadaster.nl,roo,roo-geosec,10.91.8.60,10.253.122.102,prod,PLP_ROO_1_0_12_0,10.91.119.87,4,7.80 GB,RO-online,roo-plp-geosec-dar:2.2.6.004,cs.kadaster.nl,28,Amsterdam
csu321.cs.kadaster.nl,bw,db1,10.91.8.61,10.253.121.106,prod,SOL_3_1_2_0,sapbwd22/sapbwd20,2,15.70 GB,SAP-BW (Management info) ,,cs.kadaster.nl,147,Almere
csu322.cs.kadaster.nl,srm,qs5,10.91.8.62,10.253.121.68,prod,SOL_3_1_2_0,sapsrq37/sapsrq35,2,15.70 GB,SAP-SRM (Inkoop) ,,cs.kadaster.nl,147,Amsterdam
csu323.cs.kadaster.nl,woz,woz-as-ato,10.91.8.63,10.253.123.123,prod,JAP_3_1_3_0,10.91.119.55,2,3.86 GB,LV WOZ ATO,wozas-ato-appl-dar:7.1.2.0,cs.kadaster.nl,31,Almere
csu324.cs.kadaster.nl,dms,psapcs,10.91.8.64,10.253.122.228,prod,SOL_3_1_3_0,,2,7.81 GB,Generieke Archief Oplossing,,cs.kadaster.nl,64,Amsterdam
csu325.cs.kadaster.nl,srm,ps5,10.91.8.65,10.253.121.5,prod,SOL_3_1_2_0,sapsrp22/sapsrp20,2,31.49 GB,SAP-SRM (Inkoop) ,,cs.kadaster.nl,179,Almere
csu326.cs.kadaster.nl,bw,qb2,10.91.8.66,10.253.121.71,prod,SOL_3_1_2_0,sapbwq11/sapbwq10,2,15.70 GB,SAP-BW (Management info) ,,cs.kadaster.nl,147,Amsterdam
csu327.cs.kadaster.nl,roo,roo-val-pilot,10.91.8.67,10.253.122.120,prod,PLP_ROO_1_0_12_0,10.91.119.28,4,7.80 GB,RO-Online Pilot,roo-plp-val-dar:2.2.6.004,cs.kadaster.nl,28,Almere
csu329.cs.kadaster.nl,dms,ie1,10.91.8.69,10.253.122.11,prod,SOL_3_1_2_0,sapeci01/sapeci00,2,15.58 GB,Generieke Archief Oplossing,,cs.kadaster.nl,147,Almere
csu330.cs.kadaster.nl,bw,pb1,10.91.8.70,10.253.120.242,prod,SOL_3_1_2_0,/sapbwp02,1,7.81 GB,SAP-BW (Management info) ,,cs.kadaster.nl,131,Amsterdam
csu331.cs.kadaster.nl,klic,klic-poc,10.91.8.71,10.253.123.1,prod,JAP_4_0_11_0,10.91.119.91,1,1.96 GB,KLIC,,cs.kadaster.nl,28,Almere
csu332.cs.kadaster.nl,bgt,bgt-app-rs,10.91.8.72,10.253.123.15,prod,JAP_4_0_11_0,10.91.119.74,2,3.87 GB,BGT-LV,,cs.kadaster.nl,28,Amsterdam
csu333.cs.kadaster.nl,woz,woz-as-ct2,10.91.8.73,10.253.123.5,prod,JAP_3_1_3_0,10.91.119.21,2,3.86 GB,LV WOZ CTO,wozas-ct2-appl-dar:7.1.2.0,cs.kadaster.nl,31,Almere
csu334.cs.kadaster.nl,woz,woz-as-ct2,10.91.8.74,10.253.123.184,prod,JAP_3_1_3_0,10.91.119.21,2,3.86 GB,LV WOZ CTO,wozas-ct2-appl-dar:7.1.2.0,cs.kadaster.nl,31,Amsterdam
csu337.cs.kadaster.nl,ecc,dev,10.91.8.77,10.253.121.116,prod,SOL_3_1_2_0,sapr3d01/sapr3d00,2,15.70 GB,SAP-ECC-FICO (Financien) ,,cs.kadaster.nl,147,Almere
csu341.cs.kadaster.nl,ecc,prd,10.91.8.81,10.253.120.245,prod,SOL_3_1_2_0,/sapr3p02,4,48.25 GB,SAP-ECC-FICO (Financien) ,,cs.kadaster.nl,213,Almere
csu342.cs.kadaster.nl,solman,ps1,10.91.8.82,10.253.120.191,prod,SOL_3_1_2_0,sapsop72/sapsop70,4,63.05 GB,Application Lifecycle Management (ALM),,cs.kadaster.nl,213,Amsterdam
